NUM,DESIGNATION,DYN,BD,BD.E,BD.R,RNK,DIAM,D.E,D.R,MASS,M.E,M.R,G,T.T,T.B,L.T,L.B,T.D,C_TAX,C_BD,C_BD.E,C_BD.R,C_RNK
442,Eichsfeldia,MBA,1.25,0.23,18,B,65.8,1.5,2,1.86e+17,3.12e+16,17,-,C,Ch,-,-,-,Ch,1.32,0.16,12,B
444,Gyptis,MBA,1.72,1.14,66,D,163.9,5.3,3,3.97e+18,2.60e+18,65,-,C,C,-,-,C,C,4.55,1.23,27,C
445,Edna,MBA,4.60,4.91,107,E,87.2,3.7,4,1.60e+18,1.69e+18,106,-,C,-,Caa,Ch,-,Ch,9.52,2.5,26,X
449,Hamburga,MBA,0.85,1.42,166,E,73.3,10.3,14,1.76e+17,2.83e+17,161,-,C,-,-,-,-,C,10.07,9.24,92,E
451,Patientia,MBA,1.79,0.36,20,C,228.9,6.6,3,1.12e+19,2.03e+18,18,-,CU,-,C,Cb,-,Cb,1.6,0.8,50,D
454,Mathesis,MBA,0.48,0.24,50,D,83.3,2.0,2,1.45e+17,7.26e+16,50,-,CB,-,-,-,-,-,-,-,-,-
455,Bruchsalia,MBA,3.93,1.29,33,C,86.5,5.1,6,1.33e+18,3.70e+17,28,-,CP,-,X,Xk,-,Xk,3.32,0.84,25,C
464,Megaira,MBA,2.89,1.48,51,D,82.2,4.5,6,8.41e+17,4.07e+17,48,-,FXU:,C,-,-,-,-,-,-,-,-
465,Alekto,MBA,1.03,0.62,60,D,66.9,7.4,11,1.62e+17,8.08e+16,50,-,-,-,T,T,-,-,-,-,-,-
466,Tisiphone,OMB,0.65,0.35,54,D,121.5,8.3,7,6.13e+17,3.06e+17,50,-,C,-,-,-,-,-,-,-,-,-
469,Argentina,MBA,3.37,1.82,54,D,125.5,4.6,4,3.49e+18,1.84e+18,53,-,X,-,X,Xk,-,Xk,4.32,1.75,41,C
471,Papagena,MBA,2.75,1.07,39,C,135.1,6.3,5,3.55e+18,1.29e+18,36,-,S,S,-,-,-,S,3.01,1.82,60,D
476,Hedwig,MBA,1.60,0.41,26,C,124.3,3.5,3,1.61e+18,3.90e+17,24,-,P,X,-,-,-,-,-,-,-,-
481,Emita,MBA,1.75,2.79,160,E,107.2,4.7,4,1.13e+18,1.80e+18,159,-,C,Ch,-,-,-,Ch,8.95,2.53,28,C
485,Genua,MBA,1.65,0.88,54,D,55.7,3.6,7,1.49e+17,7.46e+16,50,-,-,S,S,S,S,S,14.53,5.68,39,X
488,Kreusa,MBA,1.24,0.20,16,B,154.2,4.6,3,2.39e+18,3.11e+17,13,-,C,-,Caa,Ch,-,Ch,1.1,0.54,49,C
489,Comacina,MBA,0.79,0.43,55,D,125.7,9.9,8,8.19e+17,4.06e+17,50,-,C,-,X,X,-,-,-,-,-,-
490,Veritas,MBA,2.26,2.51,111,E,112.3,2.1,2,1.68e+18,1.86e+18,111,-,C,Ch,-,-,-,Ch,8.37,3.23,39,C
491,Carina,MBA,4.58,3.11,68,D,97.1,2.4,2,2.20e+18,1.49e+18,68,-,-,C,X,X,-,X,9.97,4.15,42,C
498,Tokio,MBA,1.95,1.03,53,D,84.5,5.8,7,6.16e+17,2.98e+17,48,-,M,-,-,-,-,-,-,-,-,-
503,Evelyn,MBA,3.23,3.53,109,E,86.1,3.7,4,1.08e+18,1.17e+18,108,-,XC,Ch,-,-,-,Ch,8.1,1.38,17,X
505,Cava,MBA,2.57,1.59,62,D,101.4,1.8,2,1.40e+18,8.62e+17,61,-,FC,-,-,-,-,Xk,7.28,7.02,96,D
506,Marion,MBA,4.16,2.29,55,D,99.8,8.9,9,2.17e+18,1.04e+18,48,-,XC,-,X,X,-,-,-,-,-,-
508,Princetonia,MBA,1.89,0.77,41,C,132.7,4.6,3,2.31e+18,9.15e+17,40,-,C,-,X,X,-,X,2.09,0.47,22,C
511,Davida,MBA,2.15,0.78,36,C,301.1,15.3,5,3.08e+19,1.02e+19,33,-,C,C,X,X,-,C,2.43,0.79,33,C
514,Armida,MBA,2.09,1.05,50,D,110.4,3.7,3,1.48e+18,7.25e+17,49,Y,XC,-,X,Xe,-,-,-,-,-,-
